"","date","Ca_Accumulibacter","Ca_Competibacter","Ca_Contendobacter","Ca_Obscuribacter","Dechloromonas","Defluviicoccus","Micropruina","Tetrasphaera"
"1",2021-05-04,2.18773373223635,0.093492894540015,0,0.411368735976066,3.27225130890052,0,3.30964846671653,0.448765893792072
"2",2021-05-12,1.44789483711183,0,0,0.209563726424081,6.64888550200038,0,2.43855972566203,0.857306153553058
"3",2021-05-25,3.07205362129957,0.0558555203872649,0,0.0930925339787749,6.9074660212251,0,0.688884751442934,0.26065909514057
"4",2021-06-15,0.811834746527151,0.090203860725239,0,0,34.9269348728126,0,0,0.0360815442900956
"5",2021-07-06,4.80937390696048,1.32913606155999,0,0.0174886323889472,21.9657222805177,0.104931794333683,0,0
"6",2021-07-27,11.5484205075091,4.10840669773865,0.0863110650785431,0,6.92214741929915,0.0517866390471258,0,0
"7",2021-08-17,13.9170824015138,8.94546705659728,0.29244796146568,0.0688112850507483,3.47496989506279,0.0516084637880612,0,0
"8",2021-09-07,13.9816076294278,9.58787465940054,0.18732970027248,0.374659400544959,2.48637602179836,0.085149863760218,0,0
"9",2021-09-28,14.4670492088332,7.84211441488437,0.260824204486176,0.104329681794471,6.6075465136498,0.191271083289863,0,0
"10",2021-10-21,12.9831859941064,8.18166059975732,0.225342347027214,0,5.96290518287398,0.138672213555209,0,0
"11",2021-11-12,10.8102955195424,5.10962821734986,0.305052430886559,0.0762631077216397,11.2869399428027,0.0571973307912297,0,0
"12",2021-12-03,10.2427921092564,5.82321699544765,0.227617602427921,0.0189681335356601,8.76327769347496,0.0379362670713202,0,0
