"","date","Abundance","Genus"
"10",2021-09-28,0,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"13",2021-05-12,0,"Ca_Accumulibacter"
"17",2021-05-04,0,"Ca_Accumulibacter"
"24",2021-06-15,0,"Ca_Accumulibacter"
"26",2021-05-04,0,"Dechloromonas"
"27",2021-05-12,0,"Dechloromonas"
"40",2021-05-04,0,"Dechloromonas"
"41",2021-05-12,0,"Dechloromonas"
"51",2021-05-04,0,"Thauera"
"85",2021-05-25,0,"Plasticicumulans"
"90",2021-05-04,0,"Plasticicumulans"
"110",2021-09-07,0,"Cloacibacterium"
"111",2021-10-21,0,"Cloacibacterium"
"114",2021-05-04,0,"Cloacibacterium"
"116",2021-07-27,0,"Cloacibacterium"
"117",2021-08-17,0,"Cloacibacterium"
