"","date","Ca_Accumulibacter","Tetrasphaera","Dechloromonas","Ca_Competibacter","Micropruina"
"1",2021-05-04,2.18773373223635,0.448765893792072,3.27225130890052,0.093492894540015,3.30964846671653
"2",2021-05-12,1.44789483711183,0.857306153553058,6.64888550200038,0,2.43855972566203
"3",2021-05-25,3.07205362129957,0.26065909514057,6.9074660212251,0.0558555203872649,0.688884751442934
"4",2021-06-15,0.811834746527151,0.0360815442900956,34.9269348728126,0.090203860725239,0
"5",2021-07-06,4.80937390696048,0,21.9657222805177,1.32913606155999,0
"6",2021-07-27,11.5484205075091,0,6.92214741929915,4.10840669773865,0
"7",2021-08-17,13.9170824015138,0,3.47496989506279,8.94546705659728,0
"8",2021-09-07,13.9816076294278,0,2.48637602179836,9.58787465940054,0
"9",2021-09-28,14.4670492088332,0,6.6075465136498,7.84211441488437,0
"10",2021-10-21,12.9831859941064,0,5.96290518287398,8.18166059975732,0
"11",2021-11-12,10.8102955195424,0,11.2869399428027,5.10962821734986,0
"12",2021-12-03,10.2427921092564,0,8.76327769347496,5.82321699544765,0
